localizacao, LATITUDE,LONGITUDE
'XX - ÁGUAS CLARAS','-15.83687','-48.02512'
'DISTRITO FEDERAL','-15.79240','-47.88236'
'DISTRITO FEDERAL','-15.77972','-47.92972'
'IV - BRAZLÂNDIA','-15.66602','-48.19779'
'XIX - CANDANGOLÂNDIA','-15.85171','-47.95028'
'IX - CEILÂNDIA','-15.81579','-48.11825'
'XI - CRUZEIRO','-15.78926','-47.92505'
'II - GAMA','-16.01498','-48.06220'
'X - GUARÁ','-15.82684','-47.98028'
'XXVIII - ITAPOÃ','-15.74452','-47.75965'
'XXVII – JARDIM BOTÂNICO','-15.84065','-47.88077'
'XVIII - LAGO NORTE','-15.73601','-47.86119'
'XVI - LAGO SUL','-15.83562','-47.87149'
'VIII - NÚCLEO BANDEIRANTE','-15.87125','-47.96747'
'VII - PARANOÁ','-15.77104','-47.77954'
'XXIV - PARK WAY','-15.86245','-47.97073'
'VI - PLANALTINA','-15.62065','-47.65560'
'I - PLANO PILOTO','-15.79247','-47.88239'
'XV - RECANTO DAS EMAS','-15.90669','-48.07214'
'XVII - RIACHO FUNDO','-15.88052','-48.00995'
'XXI - RIACHO FUNDO II','-15.88052','-48.00995'
'XII - SAMAMBAIA','-15.87681','-48.08827'
'XIII - SANTA MARIA','-16.01867','-47.01708'
'XIV - SÃO SEBASTIÃO','-15.96364','-47.72100'
'XXV - SETOR COMPL. DE IND. E ABASTECIMENTO','-15.88870','-47.77130'
'XXIX - SIA','-15.80163','-47.96058'
'V - SOBRADINHO','-15.64275','-47.81205'
'XXVI - SOBRADINHO II','-15.64275','-47.81205'
'XXII - SUDOESTE/OCTOGONAL','-15.78229','-47.92303'
'III - TAGUATINGA','-15.81772','-48.07596'
'XXIII - VARJÃO','-15.70920','-47.87662'
'XXX - VICENTE PIRES','-15.80611','-48.02955'

